Village Name,Gram Panchayat,TALUK,district
Ganganahalli,Gudipalli,Mulbagal ,YADGIR
Kondamari,Kodipalli,Srinivaspur ,YADGIR
Kothur,Hulkooru,Bangarpet ,YADGIR
Veerapura,Seeti,Kolar ,YADGIR
Dinnahalli,Dinnahalli,Malur ,YADGIR
Gudipalli,Gudipalli,Mulbagal ,YADGIR
Thummalapalli,Kodipalli,Srinivaspur ,YADGIR
Nayanahalli,Hulkooru,Bangarpet ,YADGIR
Khajikallahalli,Narasapura,Kolar ,YADGIR
Duduvanahalli,Dinnahalli,Malur ,YADGIR
Honnikere,Gudipalli,Mulbagal ,YADGIR
Achampalli,Kolathur,Srinivaspur ,YADGIR
Nayanahalli Majara Kothur,Hulkooru,Bangarpet ,YADGIR
Kurki,Narasapura,Kolar ,YADGIR
Ganiganahalli,Dinnahalli,Malur ,YADGIR
Kaggalanatha,Gudipalli,Mulbagal ,YADGIR
Harlakunte,Kolathur,Srinivaspur ,YADGIR
Siddareddy Dinne,Hulkooru,Bangarpet ,YADGIR
Narasapura,Narasapura,Kolar ,YADGIR
Godagahalli,Dinnahalli,Malur ,YADGIR
Kallarasanahalli,Gudipalli,Mulbagal ,YADGIR
Kattibissanahalli,Kolathur,Srinivaspur ,YADGIR
Vaddahalli,Hulkooru,Bangarpet ,YADGIR
Gundlapalya,Dinnahalli,Malur ,YADGIR
Kambamdinne,Gudipalli,Mulbagal ,YADGIR
Kolathur,Kolathur,Srinivaspur ,YADGIR
Venkatapura,Hulkooru,Bangarpet ,YADGIR
Haromakanahalli,Dinnahalli,Malur ,YADGIR
Kamsanahalli,Gudipalli,Mulbagal ,YADGIR
Pindiganagara,Kolathur,Srinivaspur ,YADGIR
Badamakanhalli,Hunkunda,Bangarpet ,YADGIR
Karagahalli,Dinnahalli,Malur ,YADGIR
Kanagaladinne,Gudipalli,Mulbagal ,YADGIR
Seethareddihalli,Kolathur,Srinivaspur ,YADGIR
Doddarahalli,Hunkunda,Bangarpet ,YADGIR
Karakamakanahalli,Dinnahalli,Malur ,YADGIR
Nagenahalli,Gudipalli,Mulbagal ,YADGIR
Uppakunte,Kolathur,Srinivaspur ,YADGIR
Ganacharapura,Hunkunda,Bangarpet ,YADGIR
Kondanahalli,Dinnahalli,Malur ,YADGIR
G Marandahalli,Gummakal,Mulbagal ,YADGIR
Baddipalli,Kurigepalli,Srinivaspur ,YADGIR
Hunukunda,Hunkunda,Bangarpet ,YADGIR
Kothigutlahalli,Dinnahalli,Malur ,YADGIR
Gummakal,Gummakal,Mulbagal ,YADGIR
Diguvapalli,Kurigepalli,Srinivaspur ,YADGIR
Kanganallur,Hunkunda,Bangarpet ,YADGIR
Nidamakanahalli,Dinnahalli,Malur ,YADGIR
Jeeyapalli,Gummakal,Mulbagal ,YADGIR
Gudipalli,Kurigepalli,Srinivaspur ,YADGIR
Kurubarahalli,Hunkunda,Bangarpet ,YADGIR
Bettahalli,Muduvathi,Kolar ,YADGIR
Palya,Dinnahalli,Malur ,YADGIR
K Byappalli,Gummakal,Mulbagal ,YADGIR
Kothur,Kurigepalli,Srinivaspur ,YADGIR
Madamuthanhalli,Hunkunda,Bangarpet ,YADGIR
Chikkanahalli,Muduvathi,Kolar ,YADGIR
Rajavarahalli,Dinnahalli,Malur ,YADGIR
Kammasandra,Gummakal,Mulbagal ,YADGIR
Kurigepalli,Kurigepalli,Srinivaspur ,YADGIR
Mittamalahalli,Hunkunda,Bangarpet ,YADGIR
Dandiganahalli,Muduvathi,Kolar ,YADGIR
Ramasagara,Dinnahalli,Malur ,YADGIR
Kasuvuganahalli,Gummakal,Mulbagal ,YADGIR
Pedduru,Kurigepalli,Srinivaspur ,YADGIR
Pitchaguntrahalli,Hunkunda,Bangarpet ,YADGIR
Jangalahalli,Muduvathi,Kolar ,YADGIR
Sorakayalahalli,Dinnahalli,Malur ,YADGIR
Myalapura,Gummakal,Mulbagal ,YADGIR
Reddivaripalli,Kurigepalli,Srinivaspur ,YADGIR
Byadabele,Inora Hosahalli,Bangarpet ,YADGIR
Konepura,Muduvathi,Kolar ,YADGIR
Yelesandra,Dinnahalli,Malur ,YADGIR
Nernahalli,Gummakal,Mulbagal ,YADGIR
Thamatampalli,Kurigepalli,Srinivaspur ,YADGIR
Dodda Ankandhalli,Inora Hosahalli,Bangarpet ,YADGIR
Muduvathi,Muduvathi,Kolar ,YADGIR
Chikkashivara,Doddashivara,Malur ,YADGIR
Payastanahalli,Gummakal,Mulbagal ,YADGIR
Thorlavaripalli,Kurigepalli,Srinivaspur ,YADGIR
Goravanahalli,Inora Hosahalli,Bangarpet ,YADGIR
Nernahalli,Muduvathi,Kolar ,YADGIR
Doddasabbenahalli,Doddashivara,Malur ,YADGIR
Puli Obereddihalli,Gummakal,Mulbagal ,YADGIR
Vangasavaripalli,Kurigepalli,Srinivaspur ,YADGIR
Guttahalli,Inora Hosahalli,Bangarpet ,YADGIR
Papenahalli,Muduvathi,Kolar ,YADGIR
Doddashivara,Doddashivara,Malur ,YADGIR
Ramachandrapura,Gummakal,Mulbagal ,YADGIR
Vempalli,Kurigepalli,Srinivaspur ,YADGIR
Honnenahalli,Inora Hosahalli,Bangarpet ,YADGIR
Parswaganahalli,Muduvathi,Kolar ,YADGIR
Guddanahalli,Doddashivara,Malur ,YADGIR
Rayalamanadinne,Gummakal,Mulbagal ,YADGIR
Yadaganapalli,Kurigepalli,Srinivaspur ,YADGIR
Inorahosahalli,Inora Hosahalli,Bangarpet ,YADGIR
Sambapura,Muduvathi,Kolar ,YADGIR
