Village Name,Gram Panchayat,TALUK,district
Bhairapur,Mathiwade,Hukkeri ,YADGIR
Navage,Hebbal,Khanapur ,YADGIR
Marakumbi,Marakumbi,Parasgad ,YADGIR
Kallur,Mullur,Ramdurg ,YADGIR
Marikatti,Marikatti,Bail Hongal ,YADGIR
Mavinahatti,Parthanahalli,Athani ,YADGIR
Mastamardi,Mastmardi,Belgaum ,YADGIR
Adibatti,Melawanki,Gokak ,YADGIR
Mattiwade,Mathiwade,Hukkeri ,YADGIR
Chikkahattiholi,Hirehattiholi,Khanapur ,YADGIR
Dasanal,Mugalihal,Parasgad ,YADGIR
Mudenkoppa,Mullur,Ramdurg ,YADGIR
Navalgatti,Marikatti,Bail Hongal ,YADGIR
Parthanahalli,Parthanahalli,Athani ,YADGIR
Shaganamatti,Mastmardi,Belgaum ,YADGIR
Chigadolli,Melawanki,Gokak ,YADGIR
Naganur K S,Mathiwade,Hukkeri ,YADGIR
Gadikop,Hirehattiholi,Khanapur ,YADGIR
Mellikeri,Mugalihal,Parasgad ,YADGIR
Mullur,Mullur,Ramdurg ,YADGIR
Pularkoppa,Marikatti,Bail Hongal ,YADGIR
Radderahatti,Radderahatti,Athani ,YADGIR
Honnihal,Modaga,Belgaum ,YADGIR
Melavanki,Melawanki,Gokak ,YADGIR
Ankalgudiketra,Mavanur,Hukkeri ,YADGIR
Hire Hattiholi,Hirehattiholi,Khanapur ,YADGIR
Mugalihal,Mugalihal,Parasgad ,YADGIR
Shigihalli Kariyat Sampagaon,Marikatti,Bail Hongal ,YADGIR
Naganur P A,Sambaragi,Athani ,YADGIR
Modge,Modaga,Belgaum ,YADGIR
Kesappanatti,Midakanatti,Gokak ,YADGIR
Mavanur,Mavanur,Hukkeri ,YADGIR
Jikanur,Hirehattiholi,Khanapur ,YADGIR
Murgod,Murgod,Parasgad ,YADGIR
Kalkuppi,Mekalamardi,Bail Hongal ,YADGIR
Sambaragi,Sambaragi,Athani ,YADGIR
Muchandi,Muchhandi,Belgaum ,YADGIR
Midakanatti,Midakanatti,Gokak ,YADGIR
Aldhal,Naganur K D,Hukkeri ,YADGIR
Chikkamanoli,Hiremunolli,Khanapur ,YADGIR
Shivanagar,Murgod,Parasgad ,YADGIR
Mekalmaradi,Mekalamardi,Bail Hongal ,YADGIR
Tawashi,Sambaragi,Athani ,YADGIR
Mutga,Mutaga,Belgaum ,YADGIR
Kamaladinni,Munyal,Gokak ,YADGIR
Bidrewadi,Naganur K D,Hukkeri ,YADGIR
Hiremanoli,Hiremunolli,Khanapur ,YADGIR
Chennapur,Nandhihal,Ramdurg ,YADGIR
Somanatti,Mekalamardi,Bail Hongal ,YADGIR
Chikkud,Saptasagar,Athani ,YADGIR
Mutnal,Muthnal,Belgaum ,YADGIR
Nagaral,Nagaral,Chikodi ,YADGIR
Munyal,Munyal,Gokak ,YADGIR
Naganur K D,Naganur K D,Hukkeri ,YADGIR
Karvinkop,Hiremunolli,Khanapur ,YADGIR
Dundanakoppa,Rudrapur,Parasgad ,YADGIR
Nandihal,Nandhihal,Ramdurg ,YADGIR
Ujjanatti,Mekalamardi,Bail Hongal ,YADGIR
Saptasagar,Saptasagar,Athani ,YADGIR
Virapankoppa,Muthnal,Belgaum ,YADGIR
Belagali,Nagarmunoli,Chikodi ,YADGIR
Rangapur,Munyal,Gokak ,YADGIR
Naganur K M,Naganur K D,Hukkeri ,YADGIR
Ankale,Iddalahonda,Khanapur ,YADGIR
Girinagar,Rudrapur,Parasgad ,YADGIR
Shirasapur,Nandhihal,Ramdurg ,YADGIR
Madanbhavi,Murakibhavi,Bail Hongal ,YADGIR
Teerth,Saptasagar,Athani ,YADGIR
Nagaramunnoli,Nagarmunoli,Chikodi ,YADGIR
Nidasoshi,Nedasosi,Hukkeri ,YADGIR
Idalhond,Iddalahonda,Khanapur ,YADGIR
Karimani,Rudrapur,Parasgad ,YADGIR
Timmapur S A,Nandhihal,Ramdurg ,YADGIR
Muraki Bhavi,Murakibhavi,Bail Hongal ,YADGIR
Satti,Satti,Athani ,YADGIR
Dhulaganawadi,Nainglaj,Chikodi ,YADGIR
Masarguppi,Nerali,Hukkeri ,YADGIR
Khemewadi,Iddalahonda,Khanapur ,YADGIR
Rudrapur,Rudrapur,Parasgad ,YADGIR
Chilamur,Narasapur,Ramdurg ,YADGIR
Savadi,Savadi,Athani ,YADGIR
Nainglaj,Nainglaj,Chikodi ,YADGIR
Nerli,Nerali,Hukkeri ,YADGIR
Singinkop,Iddalahonda,Khanapur ,YADGIR
Kencharamanahal,Sangreshkop,Parasgad ,YADGIR
Narasapur,Narasapur,Ramdurg ,YADGIR
Khavatkoppa,Shankaratti,Athani ,YADGIR
Nanadi,Nanadi,Chikodi ,YADGIR
Gumchinmardi,Pachapur,Hukkeri ,YADGIR
Bogur,Itagi,Khanapur ,YADGIR
Sangreshkoppa,Sangreshkop,Parasgad ,YADGIR
Obalapur,Obalapura,Ramdurg ,YADGIR
Sankaratti,Shankaratti,Athani ,YADGIR
Nanadiwadi,Nanadi,Chikodi ,YADGIR
Pachapur,Pachapur,Hukkeri ,YADGIR
Itagi,Itagi,Khanapur ,YADGIR
Yadahalli,Sangreshkop,Parasgad ,YADGIR
Soppadla,Obalapura,Ramdurg ,YADGIR
Shegunshi,Shegunashi,Athani ,YADGIR
Kuthali,Navalihal,Chikodi ,YADGIR
Basaligundi,Nallanatti,Gokak ,YADGIR
Bagarnal,Rustampur,Hukkeri ,YADGIR
Chapoli,Jamboti,Khanapur ,YADGIR
Gudamakeri,Sattigeri,Parasgad ,YADGIR
Venkateshwarnagar,Obalapura,Ramdurg ,YADGIR
Shiraguppi,Shiraguppi,Athani ,YADGIR
Nagenahatti,Nandhihalli,Belgaum ,YADGIR
Navalihal,Navalihal,Chikodi ,YADGIR
Nallanatti,Nallanatti,Gokak ,YADGIR
Bannibagi,Rustampur,Hukkeri ,YADGIR
Jamboti,Jamboti,Khanapur ,YADGIR
Itnal,Sattigeri,Parasgad ,YADGIR
Chikkoppa S K,Sangal,Ramdurg ,YADGIR
Nagnur,Naganur,Bail Hongal ,YADGIR
Balawad,Shirahatti,Athani ,YADGIR
Nandihalli,Nandhihalli,Belgaum ,YADGIR
Sankanwadi,Navalihal,Chikodi ,YADGIR
Khanapur,Nandagaon,Gokak ,YADGIR
Chilbhavi,Rustampur,Hukkeri ,YADGIR
Olamani,Jamboti,Khanapur ,YADGIR
Sattigeri,Sattigeri,Parasgad ,YADGIR
Kalhal,Sangal,Ramdurg ,YADGIR
Kesarkoppa,Neginhal,Bail Hongal ,YADGIR
Shirahatti,Shirahatti,Athani ,YADGIR
Nilaji,Nilaji,Belgaum ,YADGIR
Nej,Nej,Chikodi ,YADGIR
Mutnal,Nandagaon,Gokak ,YADGIR
Rustumpur,Rustampur,Hukkeri ,YADGIR
Kadatanbagewadi,Kadatanabagewadi,Khanapur ,YADGIR
Shindhogi,Shindogi,Parasgad ,YADGIR
Sangal,Sangal,Ramdurg ,YADGIR
Neginhal,Neginhal,Bail Hongal ,YADGIR
Pandegaon,Shirur,Athani ,YADGIR
Shindoli,Nilaji,Belgaum ,YADGIR
Amalzari,Pattankudi,Chikodi ,YADGIR
Nandagaon,Nandagaon,Gokak ,YADGIR
Modage,Salamwadi,Hukkeri ,YADGIR
Tolagi,Kadatanabagewadi,Khanapur ,YADGIR
Yakkeri,Shindogi,Parasgad ,YADGIR
Aribenchi,Sunnahal,Ramdurg ,YADGIR
Nesargi,Nesargi,Bail Hongal ,YADGIR
Shirur,Shirur,Athani ,YADGIR
Dharanatti,Rangadolhi,Belgaum ,YADGIR
Nippani,Pattankudi,Chikodi ,YADGIR
Patagundi,Patagundi,Gokak ,YADGIR
Salamwadi,Salamwadi,Hukkeri ,YADGIR
Kakkeri,Kakkeri,Khanapur ,YADGIR
Govanakoppa Inam,Sirasangi,Parasgad ,YADGIR
Durganagar,Sunnahal,Ramdurg ,YADGIR
Dombarkoppa,Nichanaki,Bail Hongal ,YADGIR
Koulgudd,Siddewadi,Athani ,YADGIR
Gutti,Rangadolhi,Belgaum ,YADGIR
Pattankudi,Pattankudi,Chikodi ,YADGIR
Pamaladinni,Phamaladinni,Gokak ,YADGIR
Shettihalli,Salamwadi,Hukkeri ,YADGIR
Karikatti,Kakkeri,Khanapur ,YADGIR
Govanakoppa K Y,Sirasangi,Parasgad ,YADGIR
Kankanwadi,Sunnahal,Ramdurg ,YADGIR
Marigeri,Nichanaki,Bail Hongal ,YADGIR
Siddewadi,Siddewadi,Athani ,YADGIR
Harankol,Rangadolhi,Belgaum ,YADGIR
Shamanewadi,Shamanewadi,Chikodi ,YADGIR
Rajapur,Rajapur,Gokak ,YADGIR
Sarapur,Sarapur,Hukkeri ,YADGIR
Betne,Kanakumbi,Khanapur ,YADGIR
Kallapur,Sirasangi,Parasgad ,YADGIR
Sunnal,Sunnahal,Ramdurg ,YADGIR
Nichanaki,Nichanaki,Bail Hongal ,YADGIR
Suttatti,Suttatti,Athani ,YADGIR
Kenchanatti,Rangadolhi,Belgaum ,YADGIR
Gondikuppi,Shendur,Chikodi ,YADGIR
Sanganakeri,Sanganakeri,Gokak ,YADGIR
Shirhatti,Sarapur,Hukkeri ,YADGIR
Chigule,Kanakumbi,Khanapur ,YADGIR
Shirasangi,Sirasangi,Parasgad ,YADGIR
Revadikoppa,Surebhan,Ramdurg ,YADGIR
Shivanur,Nichanaki,Bail Hongal ,YADGIR
Katral,Tangadi,Athani ,YADGIR
Nandi,Rangadolhi,Belgaum ,YADGIR
Shendur,Shendur,Chikodi ,YADGIR
Jamanal,Shiltibhavi,Gokak ,YADGIR
Chikkaladinni,Shabandar,Hukkeri ,YADGIR
Kanakumbi,Kanakumbi,Khanapur ,YADGIR
Korakoppa,Soppadla,Parasgad ,YADGIR
Sureban,Surebhan,Ramdurg ,YADGIR
Pattihal K B,Pattihal K B,Bail Hongal ,YADGIR
Shinal,Tangadi,Athani ,YADGIR
Panagutti,Rangadolhi,Belgaum ,YADGIR
Shiradwad,Shiradawad,Chikodi ,YADGIR
Pudakalkatti,Shiltibhavi,Gokak ,YADGIR
Gejapati,Shabandar,Hukkeri ,YADGIR
Diggegali,Kapoli Kg,Khanapur ,YADGIR
Rainapur,Soppadla,Parasgad ,YADGIR
Bijaguppi,Thondikatti,Ramdurg ,YADGIR
Savatagi,Pattihal K B,Bail Hongal ,YADGIR
Tangadi,Tangadi,Athani ,YADGIR
Rangadholi,Rangadolhi,Belgaum ,YADGIR
Girgaon,Shiragoan,Chikodi ,YADGIR
Shiltibhavi,Shiltibhavi,Gokak ,YADGIR
Gutaguddi,Shabandar,Hukkeri ,YADGIR
Ghose,Kapoli Kg,Khanapur ,YADGIR
Soppadla,Soppadla,Parasgad ,YADGIR
Budnikhurd,Thondikatti,Ramdurg ,YADGIR
Sampagaon,Sampgaon,Bail Hongal ,YADGIR
Telsang,Telsang,Athani ,YADGIR
Sambra,Sambra,Belgaum ,YADGIR
Shiragaonwadi,Shiragoan,Chikodi ,YADGIR
Shivapur,Shivapur H,Gokak ,YADGIR
Shahabandar,Shabandar,Hukkeri ,YADGIR
Jatage,Kapoli Kg,Khanapur ,YADGIR
Bommagadikoppa,Sutagatti,Parasgad ,YADGIR
Tondikatti,Thondikatti,Ramdurg ,YADGIR
Garjur,Sangolli,Bail Hongal ,YADGIR
Ugar Budruk,Ugar B K,Athani ,YADGIR
Santibastawad,Santibastwad,Belgaum ,YADGIR
Shirgaon,Shiragoan,Chikodi ,YADGIR
Shindikurbet,Sidhikurabet,Gokak ,YADGIR
Shirdhan,Shiradaana,Hukkeri ,YADGIR
Kapoli,Kapoli Kg,Khanapur ,YADGIR
Chakrageri,Sutagatti,Parasgad ,YADGIR
Toranagatti,Thorangatti,Ramdurg ,YADGIR
Sangolli,Sangolli,Bail Hongal ,YADGIR
Yakkanchi,Yeli Hadagali,Athani ,YADGIR
Kallehol,Sulage U,Belgaum ,YADGIR
Budulmukh,Shiraguppi,Chikodi ,YADGIR
Budihal,Suladhala,Gokak ,YADGIR
Zangatihal,Shiradaana,Hukkeri ,YADGIR
Malwad,Kapoli Kg,Khanapur ,YADGIR
Hittanagi,Sutagatti,Parasgad ,YADGIR
Beedaki,Udhapudi,Ramdurg ,YADGIR
Hanamana Hatti,Sutagatti,Bail Hongal ,YADGIR
Yelihadalagi,Yeli Hadagali,Athani ,YADGIR
Sulge,Sulage U,Belgaum ,YADGIR
Pangeri,Shiraguppi,Chikodi ,YADGIR
Suladhal,Suladhala,Gokak ,YADGIR
Sollapur,Solapur,Hukkeri ,YADGIR
Potoli,Kapoli Kg,Khanapur ,YADGIR
Sutagatti,Sutagatti,Parasgad ,YADGIR
Gudagumnal,Udhapudi,Ramdurg ,YADGIR
Hogarti,Sutagatti,Bail Hongal ,YADGIR
Rajahansagad,Sulage Y,Belgaum ,YADGIR
Shirguppi,Shiraguppi,Chikodi ,YADGIR
Honakuppi,Sunadholi,Gokak ,YADGIR
Awargol,Sulthanaput,Hukkeri ,YADGIR
Jalage,Karmbla,Khanapur ,YADGIR
Yenagi,Sutagatti,Parasgad ,YADGIR
Kullur,Udhapudi,Ramdurg ,YADGIR
Mattikoppa,Sutagatti,Bail Hongal ,YADGIR
Yaramale,Sulage Y,Belgaum ,YADGIR
Sidnal,Sidnal,Chikodi ,YADGIR
Lagameshwar,Sunadholi,Gokak ,YADGIR
Noginhal,Sulthanaput,Hukkeri ,YADGIR
Karambal,Karmbla,Khanapur ,YADGIR
Gundlur,Tadasalur,Parasgad ,YADGIR
Panchagaon,Udhapudi,Ramdurg ,YADGIR
Sutagatti,Sutagatti,Bail Hongal ,YADGIR
Chandur,Sulebhavi,Belgaum ,YADGIR
Bhivashi,Soundalga,Chikodi ,YADGIR
Sunadholi,Sunadholi,Gokak ,YADGIR
Sultanpur,Sulthanaput,Hukkeri ,YADGIR
Koundal,Karmbla,Khanapur ,YADGIR
Halaki,Tadasalur,Parasgad ,YADGIR
Rokkadakatti,Udhapudi,Ramdurg ,YADGIR
Hirebellikatti,T Shigihalli,Bail Hongal ,YADGIR
Sulebhavi,Sulebhavi,Belgaum ,YADGIR
Soundalga,Soundalga,Chikodi ,YADGIR
Kaparatti,Talakatnal,Gokak ,YADGIR
Dadabanahatti,Thana Hatergi,Hukkeri ,YADGIR
Rumewadi,Karmbla,Khanapur ,YADGIR
Jangamabudagatti,Tadasalur,Parasgad ,YADGIR
Udapudi,Udhapudi,Ramdurg ,YADGIR
Kadasagatti,T Shigihalli,Bail Hongal ,YADGIR
Yaddalabhavi Hatti,Sulebhavi,Belgaum ,YADGIR
Itnal,Umarani,Chikodi ,YADGIR
Talakatnal,Talakatnal,Gokak ,YADGIR
Thanahattargi,Thana Hatergi,Hukkeri ,YADGIR
Bhuttewadi,Kasaba Nandagad,Khanapur ,YADGIR
Mahantheshnagar,Tadasalur,Parasgad ,YADGIR
Venktapur,Udhapudi,Ramdurg ,YADGIR
Turakarshigihalli,T Shigihalli,Bail Hongal ,YADGIR
Chandanhosur,Tarihal,Belgaum ,YADGIR
Umrani,Umarani,Chikodi ,YADGIR
Kemmankol,Tapasi,Gokak ,YADGIR
U Khanapur,U Khanapur,Hukkeri ,YADGIR
Channewadi,Kasaba Nandagad,Khanapur ,YADGIR
Tadasalur,Tadasalur,Parasgad ,YADGIR
Tigadi,Tigadi,Bail Hongal ,YADGIR
Kolikopp,Tarihal,Belgaum ,YADGIR
Khajagoudanhatti,Vadral,Chikodi ,YADGIR
Shiddapurahatti,Tapasi,Gokak ,YADGIR
Yadgud,Yadagud,Hukkeri ,YADGIR
Kasabanandgad,Kasaba Nandagad,Khanapur ,YADGIR
Jalikatti,Tallur,Parasgad ,YADGIR
Yaragoppa,Tigadi,Bail Hongal ,YADGIR
Tarihal,Tarihal,Belgaum ,YADGIR
Majalatti,Vadral,Chikodi ,YADGIR
Tapashi,Tapasi,Gokak ,YADGIR
Gudaganahatti,Yamakanmardi,Hukkeri ,YADGIR
Zunjawad K Nandagad,Kasaba Nandagad,Khanapur ,YADGIR
Jeevapur,Tallur,Parasgad ,YADGIR
Tegur,Tigadolli,Bail Hongal ,YADGIR
Kabalapur,Thumergudi,Belgaum ,YADGIR
Wadral,Vadral,Chikodi ,YADGIR
Tigadi,Tapasi,Gokak ,YADGIR
Yemakanmardi,Yamakanmardi,Hukkeri ,YADGIR
Handur,Kherawad,Khanapur ,YADGIR
Somapur,Tallur,Parasgad ,YADGIR
Tigadolli,Tigadolli,Bail Hongal ,YADGIR
Kanvi Karvinakoppa,Thumergudi,Belgaum ,YADGIR
Walki,Walaki,Chikodi ,YADGIR
Kaitanal,Tawaga,Gokak ,YADGIR
Hanjanatti,Yelimunalli,Hukkeri ,YADGIR
Hulikottal,Kherawad,Khanapur ,YADGIR
Tallur,Tallur,Parasgad ,YADGIR
Turamari,Turmari,Bail Hongal ,YADGIR
Karvinkumpi,Thumergudi,Belgaum ,YADGIR
Hosa Yedur,Yadoor,Chikodi ,YADGIR
Tavag,Tawaga,Gokak ,YADGIR
Jabapur,Yelimunalli,Hukkeri ,YADGIR
Kerwad,Kherawad,Khanapur ,YADGIR
Jakabal,Teggihal,Parasgad ,YADGIR
Budihal,Udakeri,Bail Hongal ,YADGIR
Otamadu,Thumergudi,Belgaum ,YADGIR
Yadur,Yadoor,Chikodi ,YADGIR
Tukkanatti,Tukkanatti,Gokak ,YADGIR
Yalimunoli,Yelimunalli,Hukkeri ,YADGIR
Avarolli,Kodacawad,Khanapur ,YADGIR
Teggihal,Teggihal,Parasgad ,YADGIR
Mugabasav,Udakeri,Bail Hongal ,YADGIR
Tumarguddi,Thumergudi,Belgaum ,YADGIR
Yadurwadi,Yadoor,Chikodi ,YADGIR
Hadiginal,Udagatti,Gokak ,YADGIR
Chikadinkop,Kodacawad,Khanapur ,YADGIR
Harlapur,Ugaragol,Parasgad ,YADGIR
Udikeri,Udakeri,Bail Hongal ,YADGIR
Bachi,Turmari,Belgaum ,YADGIR
Budihal,Yamagarani,Chikodi ,YADGIR
Kalarkoppa,Udagatti,Gokak ,YADGIR
Deminkop,Kodacawad,Khanapur ,YADGIR
Ugaragol,Ugaragol,Parasgad ,YADGIR
Bachanakeri,Ugarkhod,Bail Hongal ,YADGIR
Turamari,Turmari,Belgaum ,YADGIR
Naganur,Yamagarani,Chikodi ,YADGIR
Udagatti,Udagatti,Gokak ,YADGIR
Kagganagi,Kodacawad,Khanapur ,YADGIR
Dhupdal,Yakkundi,Parasgad ,YADGIR
Dematti,Ugarkhod,Bail Hongal ,YADGIR
Basurte,Uchangaon,Belgaum ,YADGIR
Yamagarni,Yamagarani,Chikodi ,YADGIR
Fulagaddi,Vaderahatti,Gokak ,YADGIR
Kodachwad,Kodacawad,Khanapur ,YADGIR
Karlakatti,Yakkundi,Parasgad ,YADGIR
Timmapur,Ugarkhod,Bail Hongal ,YADGIR
Uchagaon,Uchangaon,Belgaum ,YADGIR
Gavan,Yarnal,Chikodi ,YADGIR
Waderatti,Vaderahatti,Gokak ,YADGIR
Chunchwad,Linganamath,Khanapur ,YADGIR
Venkateshnagar,Yakkundi,Parasgad ,YADGIR
Ugarkhod,Ugarkhod,Bail Hongal ,YADGIR
Waghawade,Waghawade,Belgaum ,YADGIR
Tavadi,Yarnal,Chikodi ,YADGIR
Yadwad,Yadawad,Gokak ,YADGIR
Gundolli,Linganamath,Khanapur ,YADGIR
Yakkundi,Yakkundi,Parasgad ,YADGIR
Korvikoppa,Vakkund,Bail Hongal ,YADGIR
Yellur,Yallur,Belgaum ,YADGIR
Yarnal,Yarnal,Chikodi ,YADGIR
Linganmath,Linganamath,Khanapur ,YADGIR
Yaragatti,Yaragatti,Parasgad ,YADGIR
Wakkund,Vakkund,Bail Hongal ,YADGIR
Pur,Linganamath,Khanapur ,YADGIR
Budigoppa,Yarazarvi,Parasgad ,YADGIR
Mastamaradi,Vannur,Bail Hongal ,YADGIR
Balogi,Lokoli,Khanapur ,YADGIR
Nugganatti,Yarazarvi,Parasgad ,YADGIR
Sunakumpi,Vannur,Bail Hongal ,YADGIR
Doddahosur,Lokoli,Khanapur ,YADGIR
Yarazarvi,Yarazarvi,Parasgad ,YADGIR
Vannur,Vannur,Bail Hongal ,YADGIR
Jainkoppa,Lokoli,Khanapur ,YADGIR
Lakkebail,Lokoli,Khanapur ,YADGIR
Lokoli,Lokoli,Khanapur ,YADGIR
Yadoga,Lokoli,Khanapur ,YADGIR
Kasamalagi,Mangenkopp,Khanapur ,YADGIR
Mangenkop Alias Ghosenatti,Mangenkopp,Khanapur ,YADGIR
Asoga,Manturga,Khanapur ,YADGIR
Dhokegali,Manturga,Khanapur ,YADGIR
Haruri,Manturga,Khanapur ,YADGIR
Manturga,Manturga,Khanapur ,YADGIR
Shedegali,Manturga,Khanapur ,YADGIR
Akrali,Mohisett,Khanapur ,YADGIR
Gharli,Mohisett,Khanapur ,YADGIR
Machali,Mohisett,Khanapur ,YADGIR
Manjarpai,Mohisett,Khanapur ,YADGIR
Mohiset,Mohisett,Khanapur ,YADGIR
Mundwad Pimpale,Mohisett,Khanapur ,YADGIR
Satanali,Mohisett,Khanapur ,YADGIR
Warkhadpatye,Mohisett,Khanapur ,YADGIR
Watre,Mohisett,Khanapur ,YADGIR
Bamanakop,Nagargali,Khanapur ,YADGIR
Bastawad,Nagargali,Khanapur ,YADGIR
Chinchewadi,Nagargali,Khanapur ,YADGIR
Kumbarda,Nagargali,Khanapur ,YADGIR
Nagaragali,Nagargali,Khanapur ,YADGIR
Sulegali,Nagargali,Khanapur ,YADGIR
Suwatawadi,Nagargali,Khanapur ,YADGIR
Tavargatti,Nagargali,Khanapur ,YADGIR
Alloli Kansoli,Nagurda,Khanapur ,YADGIR
Katagali,Nagurda,Khanapur ,YADGIR
Modekop,Nagurda,Khanapur ,YADGIR
Nagurda,Nagurda,Khanapur ,YADGIR
Mouje Nandgad,Nandagad,Khanapur ,YADGIR
Doddebail,Nanjanakodal,Khanapur ,YADGIR
Gundapi,Nanjanakodal,Khanapur ,YADGIR
Junjwad,Nanjanakodal,Khanapur ,YADGIR
Nanjankodal,Nanjanakodal,Khanapur ,YADGIR
Sagare,Nanjanakodal,Khanapur ,YADGIR
Gavali,Nerase,Khanapur ,YADGIR
Kavale,Nerase,Khanapur ,YADGIR
Kongale,Nerase,Khanapur ,YADGIR
Nerase,Nerase,Khanapur ,YADGIR
Pastoli,Nerase,Khanapur ,YADGIR
Teregali,Nerase,Khanapur ,YADGIR
Amboli,Nilawade,Khanapur ,YADGIR
Budase,Nilawade,Khanapur ,YADGIR
Daroli,Nilawade,Khanapur ,YADGIR
Kabanali,Nilawade,Khanapur ,YADGIR
Kanjale,Nilawade,Khanapur ,YADGIR
Kapoli K Chapoli,Nilawade,Khanapur ,YADGIR
Malavi,Nilawade,Khanapur ,YADGIR
Mugawade,Nilawade,Khanapur ,YADGIR
Nilawade,Nilawade,Khanapur ,YADGIR
Otoli,Nilawade,Khanapur ,YADGIR
Ganebail,Nittur,Khanapur ,YADGIR
Nittur,Nittur,Khanapur ,YADGIR
Chikhale,Parawad,Khanapur ,YADGIR
Chorla,Parawad,Khanapur ,YADGIR
Huland,Parawad,Khanapur ,YADGIR
Parwad,Parawad,Khanapur ,YADGIR
Parishwad,Parisawad,Khanapur ,YADGIR
Bacholi,Ramagurwadi,Khanapur ,YADGIR
Harasanwadi,Ramagurwadi,Khanapur ,YADGIR
Khanapur,Ramagurwadi,Khanapur ,YADGIR
Manasapur,Ramagurwadi,Khanapur ,YADGIR
Ramgurwadi,Ramagurwadi,Khanapur ,YADGIR
Gangawali,Shindolli,Khanapur ,YADGIR
Honakal,Shindolli,Khanapur ,YADGIR
Manikwadi,Shindolli,Khanapur ,YADGIR
Savargali,Shindolli,Khanapur ,YADGIR
Shindholli,Shindolli,Khanapur ,YADGIR
Abanali,Shiroli,Khanapur ,YADGIR
Degaon,Shiroli,Khanapur ,YADGIR
Dongargaon,Shiroli,Khanapur ,YADGIR
Hemmadaga,Shiroli,Khanapur ,YADGIR
Holda,Shiroli,Khanapur ,YADGIR
Jamagaon,Shiroli,Khanapur ,YADGIR
Kelil,Shiroli,Khanapur ,YADGIR
Mendil,Shiroli,Khanapur ,YADGIR
Shiroli,Shiroli,Khanapur ,YADGIR
Tivoli,Shiroli,Khanapur ,YADGIR
Bidarbhavi,Topinakatti,Khanapur ,YADGIR
Sannahosur,Topinakatti,Khanapur ,YADGIR
Topinkatti,Topinakatti,Khanapur ,YADGIR
Amarapura,Amarapura,Bellary,YADGIR
Angoor,Birabbi,Hoovina Hadagalli ,YADGIR
Alabur,Alabur,Hagaribommanahalli,YADGIR
Bukkasagara,Bukkasagara,Hospet ,YADGIR
Alur,Alooru,Kudligi ,YADGIR
Agrahara,Agrahara,Sandur ,YADGIR
Alabanur,B M Sugur,Siruguppa ,YADGIR
Asundi,Amarapura,Bellary,YADGIR
Beerabbi,Birabbi,Hoovina Hadagalli ,YADGIR
Ambli,Ambali,Hagaribommanahalli,YADGIR
Byluvadigeri,Byluvaddigeri,Hospet ,YADGIR
Kenchamallanahalli,Alooru,Kudligi ,YADGIR
Genatikatte,Agrahara,Sandur ,YADGIR
B M Sugur,B M Sugur,Siruguppa ,YADGIR
Bevinahalli,Amarapura,Bellary,YADGIR
Manihalli,Birabbi,Hoovina Hadagalli ,YADGIR
Kudithinamoggi,Ambali,Hagaribommanahalli,YADGIR
Dharmasagara,Byluvaddigeri,Hospet ,YADGIR
Appainahalli,Appenhalli,Kudligi ,YADGIR
Antapur,Anthapura,Sandur ,YADGIR
Ittigihal,B M Sugur,Siruguppa ,YADGIR
Godehal,Amarapura,Bellary,YADGIR
Thumbinakeri,Birabbi,Hoovina Hadagalli ,YADGIR
Ankasamudra,Bachigundanahalli,Hagaribommanahalli,YADGIR
Gundlavaddigeri,Byluvaddigeri,Hospet ,YADGIR
Halasagara,Appenhalli,Kudligi ,YADGIR
Appalapur,Anthapura,Sandur ,YADGIR
Motra Dinne,B M Sugur,Siruguppa ,YADGIR
Kakkabevinahalli,Amarapura,Bellary,YADGIR
Budanur,Dasanahalli,Hoovina Hadagalli ,YADGIR
Bachigondanahalli,Bachigundanahalli,Hagaribommanahalli,YADGIR
Kakubal,Byluvaddigeri,Hospet ,YADGIR
Mahadevarapura,Appenhalli,Kudligi ,YADGIR
Chikkantapur,Anthapura,Sandur ,YADGIR
Nadanga,B M Sugur,Siruguppa ,YADGIR
Tegginabudihal,Amarapura,Bellary,YADGIR
Dasanahalli,Dasanahalli,Hoovina Hadagalli ,YADGIR
Bannigola,Bannigola,Hagaribommanahalli,YADGIR
Basavanadurga,Chilakanahatti,Hospet ,YADGIR
Badaladuku,Badeladaku,Kudligi ,YADGIR
Kodalu,Anthapura,Sandur ,YADGIR
Nagarahal,B M Sugur,Siruguppa ,YADGIR
Byradevanahalli,B D Halli,Bellary,YADGIR
Pothalakatti,Dasanahalli,Hoovina Hadagalli ,YADGIR
Basarakodu,Bannigola,Hagaribommanahalli,YADGIR
Chilakanahatti,Chilakanahatti,Hospet ,YADGIR
Kuppinakeri,Badeladaku,Kudligi ,YADGIR
Lingadahalli,Anthapura,Sandur ,YADGIR
Venkatapur,B M Sugur,Siruguppa ,YADGIR
Chaganur,B D Halli,Bellary,YADGIR
Veerapura,Dasanahalli,Hoovina Hadagalli ,YADGIR
Seeganahalli,Bannigola,Hagaribommanahalli,YADGIR
Haravanahalli,Chilakanahatti,Hospet ,YADGIR
Nagalapura,Badeladaku,Kudligi ,YADGIR
Marutala,Anthapura,Sandur ,YADGIR
Bagawady,Bagewadi,Siruguppa ,YADGIR
Badanahatti,Badanahatti,Bellary,YADGIR
Devagondanahalli,Devagondanahalli,Hoovina Hadagalli ,YADGIR
